,ID,County,POINT_X,POINT_Y,FARM,SPECIES,HOST,Clade,Year
1,2000_0017MIDNRdeerMontm_deer_cervids_Montmorency,Montmorency,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2000
2,2000_001MIDNRdeerAlc_deer_cervids_Alcona,Alcona,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2000
3,2000_0021MIDNRdeerOts_deer_cervids_Otsego,Otsego,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2000
4,2000_0026MIDNRdeerAlp_deer_cervids_Alpena,Alpena,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2000
5,2000_0029MIDNRdeerAlc_deer_cervids_Alcona,Alcona,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2000
6,2000_0043MIDNRdeerMontm_deer_cervids_Montmorency,Montmorency,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2000
7,2000_0053MIDNRdeerAlc_deer_cervids_Alcona,Alcona,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2000
8,2000_005559MIAlcoBeef9_cattle_farmed_Alcona,Alcona,XXXX,XXXX,XXXX,CATTLE,LIVESTOCK,1,2000
9,2000_006095MIAlcoBeef11_cattle_farmed_Alcona,Alcona,XXXX,XXXX,XXXX,CATTLE,LIVESTOCK,1,2000
10,2001_0120MIDNRdeerAlc_deer_cervids_Alcona,Alcona,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2001
11,2001_0132MIDNRdeerMontm_deer_cervids_Montmorency,Montmorency,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2001
12,2001_0138MIDNRdeerMontm_deer_cervids_Montmorency,Montmorency,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2001
13,2001_0140MIDNRdeerAlc_deer_cervids_Alcona,Alcona,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2001
14,2001_0143MIDNRdeerAlc_deer_cervids_Alcona,Alcona,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2001
15,2001_0144MIDNRdeerMontm_deer_cervids_Montmorency,Montmorency,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2001
16,2001_0145MIDNRdeerPI_deer_cervids_PresqueIsle,Presque_Isle,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2001
17,2001_014MIDNRdeerMontm_deer_cervids_Montmorency,Montmorency,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2001
18,2001_015MIDNRdeerOsco_deer_cervids_Oscoda,Oscoda,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2001
19,2001_0161MIDNRelkMontm_elk_cervids_Montmorency,Montmorency,XXXX,XXXX,XXXX,ELK,WILDLIFE,1,2001
20,2001_0163MIDNRdeerAlc_deer_cervids_Alcona,Alcona,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2001
21,2001_018MIDNRdeerAlp_deer_cervids_Alpena,Alpena,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2001
22,2001_019MIDNRdeerAlc_deer_cervids_Alcona,Alcona,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2001
23,2002_023MIDNRdeerMontm_deer_cervids_Montmorency,Montmorency,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2002
24,2003_0320MIDNRdeerOsco_deer_cervids_Oscoda,Oscoda,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2003
25,2003_0332MIDNRdeerMontm_deer_cervids_Montmorency,Montmorency,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2003
26,2003_0333MIDNRelkPI_elk_cervids_PresqueIsle,Presque_Isle,XXXX,XXXX,XXXX,ELK,WILDLIFE,1,2003
27,2004_0413MIDNRdeerAlp_deer_cervids_Alpena,Alpena,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2004
28,2005_057MIDNRdeerAlc_deer_cervids_Alcona,Alcona,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2005
29,2007_0728MIDNRdeerAlc_deer_cervids_Alcona,Alcona,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2007
30,2007_0730MIDNRdeerMontm_deer_cervids_Montmorency,Montmorency,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2007
31,2007_079MIDNRdeerOsco_deer_cervids_Oscoda,Oscoda,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2007
32,2008_085MIDNRdeerMontm_deer_cervids_Montmorency,Montmorency,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2008
33,2013_1311MIDNRdeerOsco_deer_cervids_Oscoda,Oscoda,XXXX,XXXX,XXXX,DEER,WILDLIFE,1,2013
